,model,prompt_method,prompt_short,sample_size,target_material,target_thickness,pulse_width,energy,spot_size,intensity,power,cutoff_energy
689,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.542,279.0,1.57,3.3,4.56e+19,5620000000000.0,4.0
690,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.615,30.0,2.38,3.3,6.43e+20,79330000000000.0,5.5
691,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.473,463.0,2.4,3.3,4.2e+19,5180000000000.0,4.8
692,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.789,30.0,2.4,3.3,6.48e+20,80000000000000.0,6.2
693,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.326,30.0,2.32,3.3,6.27e+20,77330000000000.0,4.5
694,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.956,279.0,2.34,3.3,6.8e+19,8390000000000.0,5.5
695,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.673,187.0,2.37,3.3,1.03e+20,12680000000000.0,5.5
696,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.431,30.0,2.35,3.3,6.35e+20,78330000000000.0,4.8
697,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.708,463.0,2.38,3.3,4.17e+19,5140000000000.0,5.0
698,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.563,80.0,2.41,3.3,2.44e+20,30130000000000.0,4.8
699,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.837,30.0,2.41,3.3,6.51e+20,80330000000000.0,6.2
700,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.587,30.0,2.385,3.3,6.447e+20,79500000000000.0,5.2
701,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.318,3.3,6.264e+20,77250000000000.0,4.2
702,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,279.0,1.598,3.3,4.644e+19,5728000000000.0,4.8
703,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.5
704,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,80.0,2.412,3.3,2.445e+20,30150000000000.0,5.0
705,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.681,187.0,2.387,3.3,1.035e+20,12760000000000.0,6.0
706,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.301,30.0,2.328,3.3,6.291e+20,77590000000000.0,4.4
707,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.892,279.0,2.358,3.3,6.853e+19,8451000000000.0,5.8
708,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,30.0,2.371,3.3,6.407e+20,79030000000000.0,4.8
709,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,463.0,2.411,3.3,4.222e+19,5207000000000.0,5.2
710,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,95.236,2.315,3.378e+21,200500000000000.0,38.5
711,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,30.0,2.394,3.3,6.47e+20,79800000000000.0,6.0
712,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.54,30.0,2.362,3.3,6.383e+20,78730000000000.0,4.6
713,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.626,187.0,2.395,3.3,1.039e+20,12810000000000.0,5.5
714,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.282,30.0,2.309,3.3,6.241e+20,76970000000000.0,4.3
715,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,30.0,2.428,3.3,6.562e+20,80930000000000.0,6.5
716,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,279.0,1.576,3.3,4.58e+19,5648000000000.0,4.2
717,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.597,30.0,2.386,3.3,6.449e+20,79520000000000.0,5.0
718,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.433,80.0,2.378,3.3,2.41e+20,29730000000000.0,4.8
719,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.981,279.0,2.352,3.3,6.835e+19,8429000000000.0,6.0
720,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,1.0,500.0,28.134,2.428,8.29e+20,56270000000000.0,28.5
721,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.27,30.0,2.301,3.3,6.218e+20,76690000000000.0,4.0
722,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.641,30.0,2.397,3.3,6.479e+20,79910000000000.0,5.8
723,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,463.0,2.387,3.3,4.181e+19,5156000000000.0,4.6
724,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.789,187.0,2.403,3.3,1.042e+20,12850000000000.0,6.5
725,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.583,30.0,2.376,3.3,6.422e+20,79200000000000.0,5.2
726,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.712,279.0,1.589,3.3,4.619e+19,5697000000000.0,4.7
727,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.295,30.0,2.331,3.3,6.301e+20,77710000000000.0,4.3
728,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.876,187.0,2.398,3.3,1.04e+20,12830000000000.0,6.5
729,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.421,30.0,2.359,3.3,6.375e+20,78630000000000.0,4.9
730,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.689,463.0,2.411,3.3,4.222e+19,5208000000000.0,5.3
731,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.537,80.0,2.387,3.3,2.419e+20,29840000000000.0,4.6
732,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.791,30.0,2.406,3.3,6.502e+20,80190000000000.0,6.0
733,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.234,2.315,3.325e+21,200500000000000.0,38.7
734,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.629,279.0,1.576,3.3,4.579e+19,5647000000000.0,4.2
735,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.483,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.7
736,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.938,187.0,2.371,3.3,1.028e+20,12680000000000.0,6.7
737,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.355,30.0,2.343,3.3,6.333e+20,78100000000000.0,4.1
738,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.752,279.0,2.357,3.3,6.849e+19,8447000000000.0,5.8
739,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.607,30.0,2.389,3.3,6.457e+20,79640000000000.0,5.6
740,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.271,30.0,2.319,3.3,6.268e+20,77300000000000.0,4.4
741,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.815,463.0,2.378,3.3,4.165e+19,5137000000000.0,5.1
742,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.492,80.0,2.401,3.3,2.433e+20,30010000000000.0,4.8
743,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.673,30.0,2.395,3.3,6.472e+20,79830000000000.0,5.9
744,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.409,279.0,1.562,3.3,4.538e+19,5596000000000.0,4.0
745,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,4.7,1200.0,230.0,55.0,5.215e+18,191700000000000.0,18.5
746,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.559,30.0,2.368,3.3,6.4e+20,78930000000000.0,5.3
747,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.728,187.0,2.392,3.3,1.037e+20,12790000000000.0,6.3
748,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.385,30.0,2.347,3.3,6.344e+20,78240000000000.0,4.5
749,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,5.2,500.0,138.921,2.789,3.375e+21,277800000000000.0,43.2
750,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
751,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,90.5,2.2,3.41e+21,190600000000000.0,41.5
752,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,279.0,2.35,3.3,6.83e+19,8420000000000.0,6.2
753,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,30.0,2.36,3.3,6.37e+20,78600000000000.0,5.5
754,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.0
755,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,1.0,500.0,100.0,3.5,1.22e+21,200000000000000.0,50.0
756,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,187.0,2.37,3.3,1.03e+20,12700000000000.0,4.8
757,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.443,30.0,2.35,3.3,6.35e+20,78300000000000.0,4.5
758,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,10.0,500.0,150.0,2.6,3.92e+21,300000000000000.0,38.0
759,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.626,30.0,2.41,3.3,6.51e+20,80300000000000.0,6.8
760,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,279.0,1.58,3.3,4.59e+19,5660000000000.0,5.0
761,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.597,80.0,2.42,3.3,2.45e+20,30250000000000.0,4.8
762,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.301,30.0,2.3,3.3,6.21e+20,76660000000000.0,4.0
763,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.54,30.0,2.34,3.3,6.32e+20,78000000000000.0,4.8
764,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,463.0,2.38,3.3,4.17e+19,5140000000000.0,5.5
765,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polystyrene,0.5,500.0,120.0,4.0,1.2e+21,240000000000000.0,60.0
766,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.279,30.0,2.26,3.3,6.11e+20,75330000000000.0,4.0
767,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,30.0,2.41,3.3,6.51e+20,80330000000000.0,5.5
768,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.27,30.0,2.27,3.3,6.13e+20,75670000000000.0,4.4
769,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.261,30.0,2.37,3.3,6.4e+20,79000000000000.0,4.8
770,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.661,279.0,1.57,3.3,4.56e+19,5620000000000.0,4.5
771,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,80.0,2.4,3.3,2.43e+20,30000000000000.0,5.0
772,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,110.0,2.4,3.47e+21,231600000000000.0,41.0
773,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.641,187.0,2.43,3.3,1.05e+20,13000000000000.0,6.2
774,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,30.0,2.43,3.3,6.56e+20,81000000000000.0,5.5
775,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
776,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,279.0,2.41,3.3,7e+19,8630000000000.0,6.2
777,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,1.0,475.0,90.0,2.5,3e+21,190000000000000.0,40.0
778,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,30.0,2.35,3.3,6.35e+20,78330000000000.0,4.8
779,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.0
780,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,187.0,2.38,3.3,1.03e+20,12710000000000.0,4.8
781,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,1.0,500.0,100.0,3.5,1.5e+21,200000000000000.0,50.0
782,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.663,279.0,1.57,3.3,4.56e+19,5620000000000.0,4.0
783,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,30.0,2.36,3.3,6.38e+20,78670000000000.0,5.5
784,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.597,80.0,2.4,3.3,2.43e+20,30000000000000.0,4.8
785,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,110.0,2.4,3.4e+21,231600000000000.0,41.0
786,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.54,30.0,2.34,3.3,6.32e+20,77930000000000.0,4.0
787,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.981,279.0,2.36,3.3,6.86e+19,8450000000000.0,6.2
788,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,30.0,2.41,3.3,6.51e+20,80330000000000.0,6.2
789,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,463.0,2.39,3.3,4.18e+19,5160000000000.0,4.5
790,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.677,187.0,2.43,3.3,1.05e+20,13000000000000.0,4.5
791,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,30.0,2.43,3.3,6.56e+20,80960000000000.0,4.9
792,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.633,279.0,1.6,3.3,4.65e+19,5730000000000.0,4.0
793,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.595,30.0,2.36,3.3,6.37e+20,78570000000000.0,6.2
794,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,10.0,500.0,150.0,3.0,3.5e+21,300000000000000.0,35.0
795,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.538,80.0,2.45,3.3,2.48e+20,30620000000000.0,5.5
796,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.587,279.0,1.58,3.3,4.59e+19,5670000000000.0,4.0
797,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.617,30.0,2.34,3.3,6.32e+20,78000000000000.0,5.5
798,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.573,463.0,2.39,3.3,4.18e+19,5160000000000.0,4.8
799,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.643,30.0,2.42,3.3,6.54e+20,80670000000000.0,6.2
800,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.583,30.0,2.389,3.3,6.457e+20,79630000000000.0,5.8
801,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.721,279.0,1.592,3.3,4.627e+19,5707000000000.0,4.2
802,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.234,2.315,3.215e+21,200500000000000.0,38.6
803,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.489,80.0,2.412,3.3,2.444e+20,30150000000000.0,4.9
804,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.316,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.7
805,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.752,30.0,2.421,3.3,6.544e+20,80700000000000.0,6.5
806,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.628,187.0,2.398,3.3,1.04e+20,12830000000000.0,5.7
807,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.405,30.0,2.337,3.3,6.316e+20,77900000000000.0,4.6
808,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,4.2,1200.0,210.0,45.0,6.912e+18,175000000000000.0,14.5
809,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.691,279.0,1.587,3.3,4.612e+19,5688000000000.0,4.7
810,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.533,30.0,2.378,3.3,6.428e+20,79270000000000.0,5.2
811,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.876,30.0,2.442,3.3,6.6e+20,81400000000000.0,6.7
812,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.298,30.0,2.311,3.3,6.246e+20,77030000000000.0,4.3
813,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.715,463.0,2.411,3.3,4.222e+19,5207000000000.0,5.1
814,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,6.5,500.0,138.921,3.12,2.825e+21,277800000000000.0,35.2
815,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.361,3.3,6.382e+20,78700000000000.0,4.9
816,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.937,187.0,2.372,3.3,1.028e+20,12680000000000.0,6.4
817,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.608,30.0,2.395,3.3,6.472e+20,79830000000000.0,5.6
818,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.329,30.0,2.343,3.3,6.332e+20,78100000000000.0,4.5
819,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.781,279.0,2.351,3.3,6.832e+19,8425000000000.0,5.3
820,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.559,80.0,2.417,3.3,2.449e+20,30210000000000.0,5.0
821,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.673,30.0,2.401,3.3,6.489e+20,80030000000000.0,6.0
822,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.412,30.0,2.359,3.3,6.376e+20,78630000000000.0,4.8
823,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.895,279.0,2.337,3.3,6.792e+19,8375000000000.0,5.8
824,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.507,30.0,2.371,3.3,6.408e+20,79030000000000.0,5.1
825,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.487,30.0,2.356,3.3,6.368e+20,78540000000000.0,4.8
826,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,279.0,1.587,3.3,4.612e+19,5689000000000.0,4.5
827,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.234,2.315,3.245e+21,200500000000000.0,38.7
828,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.318,30.0,2.329,3.3,6.295e+20,77630000000000.0,4.2
829,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.689,187.0,2.412,3.3,1.046e+20,12900000000000.0,6.5
830,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.552,30.0,2.378,3.3,6.428e+20,79270000000000.0,5.8
831,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.893,279.0,2.351,3.3,6.832e+19,8425000000000.0,5.2
832,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.411,80.0,2.389,3.3,2.422e+20,29860000000000.0,4.6
833,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polystyrene,0.6,500.0,128.43,4.201,1.29e+21,256900000000000.0,59.8
834,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.765,30.0,2.422,3.3,6.546e+20,80730000000000.0,6.5
835,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.298,30.0,2.302,3.3,6.222e+20,76740000000000.0,4.0
836,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.621,463.0,2.412,3.3,4.224e+19,5209000000000.0,4.9
837,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,5.2,500.0,132.891,3.112,2.743e+21,265800000000000.0,35.2
838,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.531,30.0,2.369,3.3,6.403e+20,78970000000000.0,5.0
839,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.779,279.0,1.595,3.3,4.635e+19,5716000000000.0,4.7
840,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.412,30.0,2.351,3.3,6.354e+20,78370000000000.0,4.4
841,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.687,187.0,2.395,3.3,1.039e+20,12810000000000.0,6.0
842,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.953,279.0,2.357,3.3,6.85e+19,8446000000000.0,5.8
843,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.274,30.0,2.315,3.3,6.257e+20,77170000000000.0,4.2
844,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.608,80.0,2.429,3.3,2.462e+20,30360000000000.0,5.2
845,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polypropylene,0.9,500.0,159.3,4.823,1.208e+21,318600000000000.0,83.5
846,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.515,30.0,2.387,3.3,6.451e+20,79560000000000.0,5.5
847,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.733,279.0,1.578,3.3,4.586e+19,5656000000000.0,4.8
848,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.392,30.0,2.342,3.3,6.329e+20,78060000000000.0,4.6
849,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.5,475.0,105.789,2.389,3.538e+21,222700000000000.0,40.9
850,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.482,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.4
851,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.769,279.0,2.41,3.3,7.01e+19,8640000000000.0,6.2
852,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,1.0,475.0,10.0,2.5,3.39e+21,210000000000000.0,29.5
853,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.593,30.0,2.35,3.3,6.35e+20,78330000000000.0,4.8
854,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.273,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.0
855,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,aluminium,5.0,1500.0,270.0,60.0,4.42e+18,180000000000000.0,16.0
856,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.506,463.0,2.4,3.3,4.2e+19,5180000000000.0,4.8
857,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.626,30.0,2.41,3.3,6.51e+20,80330000000000.0,6.2
858,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.723,30.0,2.36,3.3,6.38e+20,78670000000000.0,5.5
859,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,4.0,475.0,90.0,2.22,3.41e+21,189000000000000.0,41.0
860,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.301,30.0,2.31,3.3,6.24e+20,77000000000000.0,4.5
861,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.981,187.0,2.37,3.3,1.03e+20,12670000000000.0,6.2
862,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.529,30.0,2.41,3.3,6.51e+20,80330000000000.0,4.9
863,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.27,30.0,2.27,3.3,6.13e+20,75670000000000.0,4.0
864,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.661,279.0,1.57,3.3,4.56e+19,5620000000000.0,5.0
865,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.551,30.0,2.34,3.3,6.32e+20,78000000000000.0,4.5
866,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.677,279.0,2.36,3.3,6.86e+19,8450000000000.0,4.5
867,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,polystyrene,0.5,500.0,135.0,4.7,1.08e+21,270000000000000.0,64.0
868,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.584,30.0,2.43,3.3,6.56e+20,81000000000000.0,4.9
869,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.264,30.0,2.31,3.3,6.24e+20,77000000000000.0,3.8
870,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,1.0,187.0,2.31,3.3,1e+20,12350000000000.0,4.4
871,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.633,187.0,2.44,3.3,1.06e+20,13050000000000.0,6.8
872,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.443,30.0,2.37,3.3,6.4e+20,79000000000000.0,4.8
873,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,10.0,500.0,126.0,3.34,2.01e+21,252000000000000.0,29.8
874,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.595,279.0,1.56,3.3,4.53e+19,5590000000000.0,4.0
875,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.583,30.0,2.379,3.3,6.431e+20,79300000000000.0,5.2
876,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,gold,3.8,475.0,95.621,2.35,3.215e+21,201300000000000.0,38.6
877,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.721,279.0,1.598,3.3,4.644e+19,5728000000000.0,4.7
878,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.489,30.0,2.352,3.3,6.357e+20,78400000000000.0,4.9
879,claude-3-5-sonnet-20240620,self_consistency,sc,rs_size_150,plastic,0.628,187.0,2.401,3.3,1.041e+20,12840000000000.0,6.5
